ScientificName
Abies grandis
Abies koreana
Acer acuminatum
Acer campestre
Chamaecyparis lawsoniana
Juniperus pfitzeriana
Acer cappadocicum
Acer carpinifolium
Acer cissifolium
Fraxinus excelsior
Malus domestica
Acer pseudoplatanus
Prunus domestica
Acer griseum
Pterocarya fraxinifolia
Acer monspessulanum
Acer negundo
Ulmus hollandica
Prunus gondouinii
Aesculus flava
Acer palmatum
Robinia pseudoacacia
Acer pensylvanicum
Acer platanoides
Prunus cerasifera
Taxus baccata
Carpinus betulus
Tilia tomentosa
Castanea sativa
Pyrus communis
Prunus avium
Ginkgo biloba
Acer rubrum
Parrotia persica
Acer saccharinum
Crataegus mordenensis
Acer shirasawanum
Fraxinus pennsylvanica
Aesculus glabra
Aesculus hippocastanum
Morus alba
Prunus padus
Aesculus pavia
Aesculus parviflora
Pyrus calleryana
Ailanthus altissima
Ailanthus giraldii
Alangium platanifolium
Alnus cordata
Alnus glutinosa
Alnus incana
Sorbus aria
Toona sinensis
Prunus serrulata
Cercis canadensis
Amelanchier lamarckii
Aralia chinensis
Aralia elata
Asimina triloba
Leucothoe axillaris
Berberis julianae
Berberis bidentata
Picea pungens
Betula nigra
Betula papyrifera
Betula pendula
Acer palmatum
Chamaecyparis pisifera
Prunus Snow Fountains
Betula pubescens
Betula utilis
Populus nigra
Broussonetia papyrifera
Prunus yedoensis
Carpinus japonica
Carya ovata
Catalpa bignonioides
Fagus sylvatica
Prunus sargentii
Catalpa fargesii
Catalpa ovata
Betula szechuanica
Tilia europaea
Cedrus deodara
Cedrus atlantica
Celtis australis
Celtis julianae
Cephalotaxus harringtonia
Cercidiphyllum japonicum
Cercis racemosa
Cercis siliquastrum
Sorbus aria
Liquidambar styraciflua
Tilia cordata
Quercus cerris
Callitropsis nootkatensis
Juglans regia
Cornus nuttallii
Amelanchier arborea
Chimonanthus praecox
Chionanthus retusus
Chionanthus virginicus
x Chitalpa tashkentensis
Cladrastis kentukea
Clerodendrum bungei
Clerodendrum trichotomum
Cornus controversa
Cornus florida
Cornus florida f. rubra
Cornus kousa
Populus canadensis
Cornus macrophylla
Cornus mas
Gleditsia triacanthos
